id,name,description
134,Ring of Blind Ghosts,"This ring belonged to the seal guardian of New Londo. It prevents its wearer's discovery by cursed ghosts.  There were once three guardians of the seal, but two of them tired of their eternal task, and left New Londo long ago."
137,Old Witch's Ring,"Old ring from an old witch.  Engraved minutely with indecipherable script, but seemingly useless."
138,Covenant of Artorias,"This ring symbolizes Knight Artorias's covenant with the beasts of the Abyss.  Its wearer, like Artorias himself, can traverse the Abyss."
139,Orange Charred Ring,"An orange ring enchanted by a witch. Reduces lava damage.  Since his sores were inflamed by lava from birth, his witch sisters gave him this special ring. But fool that he is, he readily dropped it, and from that spot, a terrible centipede demon was born."
140,Ring of Displacement,"The ring of a lost miracle of New Londo. This ring takes damage in place of its wearer, but has a fixed chance of breaking.  As evidenced by this ring, the culture of New Londo was unique, and its flooding is widely considered to be a great loss."
141,Lingering Dragoncrest Ring,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.  The ring is engraved with a lingering dragon, and boosts the length of the effects of sorceries."
142,Ring of the Evil Eye,"According to legend, this ring contains the spirit of the evil eye, a dark beast which assaulted Astora.  The strength of the evil eye does not waver, and HP is absorbed from fallen enemies."
143,Ring of Favor and Protection,"A ring symbolizing the favor and protection of the goddess Fina, known in legend to possess ""fateful beauty.""  This ring boosts its wearer's HP, stamina, and max equipment load, but breaks if ever removed."
144,Leo Ring,One of the special rings granted to the four knights of Gwyn. The Leo Ring belonged to Ornstein the Dragonslayer.  This ring strengthens counters with pierce weapons. His lugged spear is said to have sliced a boulder in two.
145,East Wood Grain Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.  The ring slows the loss of weapon durability and is particularly useful to bearers of delicate swords crafted in the East."
146,Wolf Ring,"One of the special rings granted to the four knights of Gwyn. The Wolf Ring belongs to Artorias the Abysswalker.  Artorias had an unbendable will of steel, and was unmatched with a greatsword."
147,Blue Tearstone Ring,The rare gem called tearstone has the uncanny ability to sense imminent death.  This blue tearstone from Catarina boosts the defence of its wearer when in danger.
148,Ring of the Sun's Firstborn,"Lord Gwyn's firstborn, who inherited the sunlight, once wore this ancient ring. Boosts the strength of miracles.  Lord Gwyn's firstborn was a god of war, but his foolishness led to a loss of the annals, and rescinding of his deific status. Today, even his name is not known."
149,Darkmoon Seance Ring,"This ring is granted to adherents of Gwyndolin, Darkmoon deity and last born of Gwyn, Lord of Sunlight. Grants additional magic attunement slots.  The Dark Sun Gwyndolin is the only remaining deity in Anor Londo. His followers are few, but their tasks are of vital importance."
10000,Blade of the Darkmoon,"A silver pendant depicting the Darkmoon and a sword, the crest of the Darkmoon Knights, the original Blue Sentinels. Equip to pledge oneself to the Blade of the Darkmoon covenant.  When a member of the Way of Blue faces a dark spirit, the Blades of the Darkmoon, by an ancient accord, help to root out the invader. Summoning takes place automatically when equipped."
10020,Watchdogs of Farron,"Ancient medallion depicting the crest of a wolf. Symbolizes the pact with the Old Wolf of Farron. Equip to pledge oneself to the Watchdogs of Farron.  The Watchdogs ensure that the warriors sleep in serenity, by taking the form of loyal spirits and hunting down those who would trespass the woods of Farron.  Summoning takes place automatically while this is equipped."
10030,Aldrich Faithful,"The holy symbol of the Cathedral of the Deep, and crest of those who see beyond fire to the age of deep waters. Equip to pledge oneself to the Aldrich Faithful covenant.  The Faithful ensure that Aldrich, Devourer of Gods, remains undisturbed, by taking the form of loyal spirits and hunting down those who would trespass the ruined cathedral.  Summoning takes place automatically while this is equipped."
10040,Warrior of Sunlight,"An ancient talisman depicting a holy symbol bestowed upon the Warriors of Sunlight. Equip to pledge oneself to the Warrior of Sunlight covenant.  Warriors of Sunlight are brilliantly beaming co-operators who place their golden signatures to help those in need, for it is their duty to deliver a great conquest to their summoner."
10050,Mound-makers,"A malformed vertebra found by the mad, with a queer symbol on its inside, proof of the shackles of the Gods. Equip to pledge oneself to the Mound-makers covenant.  The mound-makers wish only to add to their mounds, becoming mad spirits whether summoned as co-operators or invaders.  They are blithe to those around them, for in their minds, any kill might lead to another shackle."
10060,Way of Blue,"Pale blue sheepskin parchment featuring an illustration of the moon, symbol of an ancient accord.  Members of the Way of Blue are the beneficiaries of an ancient accord. When a dark spirit threatens them, a blue spirit will grant them assistance, and help to root out the invader.  Summoning takes place automatically while this is equipped."
10070,Blue Sentinels,"Faded sheepskin parchment depicting the Darkmoon and a sword. Equip to pledge oneself to the Blue Sentinels covenant.  When a member of the Way of Blue is threatened by a dark spirit, the Blue Sentinels, in compliance with an ancient accord, assume the form of blue spirits, and help to root out the invader.  Summoning takes place automatically while this is equipped."
10080,Rosaria's Fingers,"Sacred seal of Archdeacon Klimt, who served Rosaria, Mother of Rebirth. Equip to pledge oneself to the Rosaria's Fingers covenant.  Rosaria's Fingers collect tongues in her name. Some do it to be reborn; others do it to help comfort their voiceless goddess."
20000,Life Ring,"A generations-old ring set with a small red jewel. Raises maximum HP.  Rings have unique powers, and their discovery will do much to ease a wearisome journey."
20010,Chloranthy Ring,"This old ring is named for its decorative green blossom, but its luster is long since faded.  Raises stamina recovery speed."
20020,Havel's Ring,"A ring for warriors keen on heavy accoutrements. Increases maximum equip load.  This ring was named after Havel the Rock, the battlefield compatriot of Gwyn, the First Lord.  The art of war has been a constant since ages past, and those who would follow in Havel's footsteps are no fewer now than in his own day."
20030,Ring of Favor,"A ring symbolizing the favor of the Goddess Fina, whose ""fateful beauty"" is mentioned in legend.  True to the fickle nature of Fina's favor, her ring increases max HP, stamina, and maximum equip load."
20040,Ring of Steel Protection,"Ring of the Knight King of ancient legend. Increases physical damage absorption.  The Knight King was said to be lined with steel on the inside, such that even the talons of mighty dragons did him little harm."
20050,Flame Stoneplate Ring,"Stoneplates are symbols of true knights, and red stoneplates are granted to those who valiantly face Chaos.  Increases fire damage absorption."
20060,Thunder Stoneplate Ring,"Stoneplates are symbols of true knights, and yellow stoneplates are granted to those who would become dragons.  Increases lightning damage absorption."
20070,Magic Stoneplate Ring,"Stoneplates are symbols of true knights, and blue stoneplates are granted to the royal palace guards.  Increases magic damage absorption."
20080,Dark Stoneplate Ring,"Stoneplates are symbols of true knights, and dark purple stoneplates are granted to Undead knights.  Increases dark damage absorption."
20090,Speckled Stoneplate Ring,"Stoneplates are symbols of true knights, and speckled stoneplates are granted to those who face an endless journey.  Slightly increases magic, lightning, fire and dark damage absorption."
20100,Bloodbite Ring,"One of the bite rings native to Carim. Increases bleed resistance.  The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art."
20110,Poisonbite Ring,"One of the bite rings native to Carim. Increases poison resistance.  The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art."
20120,Cursebite Ring,"One of the bite rings native to Carim. Increases curse resistance.  The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art."
20130,Fleshbite Ring,"One of the bite rings native to Carim. Raises poison, bleed, frost and curse resist.  The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone. Clerics, however, dabble freely in the art."
20140,Wood Grain Ring,"This special ring crafted in an Eastern land is made of metal, but with a wood grain crest on its surface. Slows equipment degradation.  Wielders of swords originating in the same region follow a practice of inscribing special words on the blades of their swords, and are naturally drawn to this ring."
20150,Scholar Ring,"A ring engraved with a portrait of a scholar. Increases intelligence.  In Lothric, the Scholar has long been considered one of the Three Pillars of the king's rule, and is therefore master of the Grand Archives."
20160,Priestess Ring,"A ring engraved with a portrait of the High Priestess. Increases faith.  In Lothric, the High Priestess has long been considered one of the Three Pillars of the king's rule. The High Priestess also served as the prince's wet nurse."
20170,Red Tearstone Ring,"A ring set with a large rare tearstone jewel. Temporarily boosts attack when HP is low.  This stone is said to be a tear of mourning of the goddess Caitha, and of course, tears are always more beautiful near death."
20180,Blue Tearstone Ring,"A ring set with a large rare tearstone jewel. Temporarily boosts damage absorption when HP is low.  This stone is said to be a tear of sorrow of the goddess Caitha, and of course, tears are always more beautiful near death."
20190,Wolf Ring,"Ring associated with Abysswalker Artorias, one of the Four Knights of Gwyn, the First Lord.  Increases poise.  Artorias had an unbendable will of steel, and was unmatched with a greatsword."
20200,Leo Ring,"Ring associated with Dragon Slayer Ornstein, one of the Four Knights of Gwyn, the First Lord.  Strengthens thrust weapon counter attacks.  Ornstein was the first knight of the sun's eldest born, and his cross spear is said to have pierced scales made of stone."
20210,Ring of Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.  Its wearer will lose nothing upon death, but the ring itself breaks.  A sacrifice is only worth as much as the life it spares."
20220,Rare Ring of Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin. This magenta-shaded ring is especially rare.  Its wearer will lose nothing upon death, and will be freed from any curse whatsoever, but the ring itself breaks.  A sacrifice is only worth as much as the life it spares."
20230,Young Dragon Ring,"Ring given in Vinheim, home of sorcery, when newly ordained as a sorcerer.  Boosts sorceries.  Apropos to the Dragon School, the seal depicts an everlasting dragon. A young dragon presages the great length of the journey to mastery."
20231,Bellowing Dragoncrest Ring,"A special ring given to those who are deemed fit to undertake the journey of discovery in Vinheim, home of sorcery.  Greatly boosts sorceries.  Apropos to the Dragon School, the seal depicts an everlasting dragon. A bellowing dragon symbolizes the true nature of the consummate sorcerer."
20240,Great Swamp Ring,"Ring said to be chiseled from the bone of a flame salamander by blighted Pyromancers living in the Great Swamp.  Boosts pyromancies.  It is believed that salamanders are the descendants of demons, born of the Chaos Flame, from which Pyromancy is also said to have originated."
20241,Witch's Ring,"The Witch of Izalith and her daughters, scorched by the Flame of Chaos, taught humans the art of pyromancy and offered them this ring.  Greatly boosts pyromancies.  Every pyromancer is familiar with the parable that tells of the witches espousing the need to fear the flame, and teaching the art of pyromancy to men in hopes that they might learn to control it."
20250,Morne's Ring,A malformed ring given to knights of Carim.  Boosts miracles.  Morne served the goddess Caitha and later became an apostle of the Archbishop. They labored together to provide comfort to the suffering.
20251,Ring of the Sun's First Born,"Ring of the Sun's first born, who inherited the light of Gwyn, the First Lord.  Greatly boosts miracles.  The Sun's first born was once a god of war, until he was stripped of his stature as punishment for his foolishness. No wonder his very name has slipped from the annals of history."
20270,Lingering Dragoncrest Ring,"A special ring given to those who are deemed fit to undertake the journey of discovery in Vinheim, home of sorcery.  Extends length of spell effect.  Apropos to the Dragon School, the seal depicts an everlasting dragon. A lingering dragon symbolizes the true nature of the consummate sorcerer."
20280,Sage Ring,"A ring given to Farron's Undead Legion by one of the preacher twins, known more commonly as the Crystal Sages.  Shortens spell casting time.  The sorcerers of Farron's Abyss Watchers were known to be lonesome warriors who would only rely upon more pragmatic spells."
20290,Slumbering Dragoncrest Ring,"Ring of a clandestine guild of sorcerers based in Vinheim, home of sorcery.  Masks the sound of its wearer.  The Dragon School held effective sovereignty over Vinheim, with a great many adept assassins at its disposal."
20300,Dusk Crown Ring,"Leaf-colored crown ring bestowed upon the princess of Oolacile, ancient land of golden sorceries.  Reduces spell FP consumption, but also lowers HP.  Oolacile is synonymous for its lost sorceries, of which the xanthous sorcerers are dedicated scholars. This crown ring is a rare artifact of great magic heritage."
20310,Saint's Ring,"A ring bestowed upon a Carim saint. Allows attunement of additional spells.  In Carim, the saints give voice to the ancient tales. They memorize countless cumbersome sacred books and read them in sonorous tones, a function for which they are widely renowned."
20320,Deep Ring,"A ring bestowed upon the Deacons of the Cathedral of the Deep. Allows attunement of additional spells.  In the Cathedral slumber things most terrible, and as such, the deacons require a grand narrative, to ensure they do not falter in their duty. A philosophy, to ward away the madness beckoned by the grotesqueries at hand."
20330,Darkmoon Ring,"Ring of the moon deity Gwyndolin, youngest son of Gwyn, the First Lord.  Adds many slots for attunement.  Gwyndolin, also known as the Dark Sun, commands the Darkmoon Knights, and bestows this ring upon the best of them."
20340,Ring of the Sun's Firstborn,"Lord Gwyn's firstborn, who inherited the sunlight, once wore this ancient ring. Boosts the strength of miracles.  Lord Gwyn's firstborn was a god of war, but his foolishness led to a loss of the annals, and rescinding of his deific status. Today, even his name is not known."
20350,Darkmoon Blade Covenant Ring,"Ring granted to those bound by the Darkmoon Blade covenant. Answer Dark Sun Gwyndolin's summoning.  Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of  a sister Gwynevere, who helps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy."
20360,Leo Ring,One of the special rings granted to the four knights of Gwyn. The Leo Ring belonged to Ornstein the Dragonslayer.  This ring strengthens counters with pierce weapons. His lugged spear is said to have sliced a boulder in two.
20370,Hawk Ring,"Ring associated with Hawkeye Gough, one of the Four Knights of Gwyn, the First Lord.  Extends the range of arrows.  In his later years, the giant Gough was blinded, but this did not prevent him from striking down a calamitous dragon with his Greatbow."
20380,Hornet Ring,"Ring associated with the Lord's Blade Ciaran, one of the Four Knights of Gwyn, the First Lord.  Boosts critical attacks.  The masked Ciaran was the only woman to serve in Gwyn's Four Knights, and her curved sword granted a swift death to any and all enemies of the throne."
20390,Covetous Gold Serpent Ring,"A gold ring depicting a snake that could have been, but never was, a dragon. Fallen foes are more likely to drop items.  Snakes are known as creatures of great avarice, devouring prey even larger than themselves by swallowing them whole.  If one's shackles are cause for discontent, perhaps it is time for some old-fashioned greed."
20400,Covetous Silver Serpent Ring,"A silver ring depicting a snake that could have been, but never was, a dragon. Fallen foes yield more souls.  Snakes are known as creatures of great avarice, devouring prey even larger than themselves by swallowing them whole.  If one's shackles are cause for discontent, perhaps it is time for some old-fashioned greed."
20410,Sun Princess Ring,"Ring associated with Gwynevere, princess of sunlight and eldest daughter of Gwyn, the First Lord.  The ring is vaguely warm, like a beam of sunlight, and gradually restores HP.  Gwynevere left her home with a great many other deities, and became a wife and mother, raising several heavenly children."
20420,Silvercat Ring,"Silver ring depicting a leaping feline. Prevents damage from falling.  In the Age of Gods, or possibly just following it, an old cat was said to speak a human tongue, with the voice of an old woman, and the form of a fanciful immortal."
20430,Skull Ring,"One of Courland's transposed wonders. Derived from the soul of a Soulfeeder.  Easier to be detected by enemies.  The Soulfeeder was a beast that insatiably absorbed souls to feed its own power. Even after its accursed corpse was burned, it is said that the pungent stench of souls left the air permanently stained."
20440,Untrue White Ring,"One of the illusory rings worn by the Hollows of Londor.  Take the appearance of a phantom.  The Hollows of Londor are wretchedly aged, fraught with deceit, and dubiously secretive. It is no wonder that they are deeply detested."
20450,Carthus Milkring,"Ring worn by warriors of the sand kingdom, Carthus. Slightly boosts dexterity and obscures the wearer while rolling.  The sword technique of Carthus allows for fluid movement with a curved sword. Masters of the technique are said to dazzle their opponents by moving as weightlessly as a grain of sand. They live for their High Lord Wolnir, conqueror of most kingdoms known to their people."
20460,Knight's Ring,"Ring engraved with a portrait of a knight. Increases strength.  In Lothric, the Knight has long been considered one of the Three Pillars of the king's rule, and were thus allowed to rear dragons."
20470,Hunter's Ring,"Ring engraved with a portrait of a hunter. Increases dexterity.  The hunters serve Lothric on the fringes and in the shadows. For generations, rulers of Lothric have relied especially upon the Black Hand hunters  to punish enemies in ways that the king's Three Pillars cannot."
20480,Knight Slayer's Ring,"Ring of the savage Tsorig, more commonly known as the Knight Slayer.  Enemies lose more stamina when guarding attacks.  Long ago, Tsorig engaged the guardians of an ancient city in a bloody confrontation, and returned with their rings as his prize, still frozen on their dismembered fingers."
20490,Magic Clutch Ring,"Ring depicting a hand grasping a blue stone. Increases magic attack, but compromises damage absorption.  An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair."
20500,Lightning Clutch Ring,"Ring depicting a hand grasping a yellow stone. Increases lightning attack, but compromises damage absorption.  An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair."
20510,Fire Clutch Ring,"Ring depicting a hand grasping a red stone. Increases fire attack, but compromises damage absorption.  An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair."
20520,Dark Clutch Ring,"Ring depicting a hand grasping a purple stone. Increases dark attack, but compromises damage absorption.  An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair."
20530,Baneful Bird Ring,"Ring of Raime the traitor. Reduces stamina loss when blocking with shield.  Raime was an agile swordsman who served King Vendrick, but after resigning from his post, he reconsidered his way of life and was born again as a stalwart warrior."
20540,Flynn's Ring,"Ring of Flynn, the eulogized thief. Lowering equip load increases attack power.  Flynn fought with the wind on his side, and was a hero among the weak and poor, yet even his admirers knew that it was little more than an idyllic fable."
20550,Prisoner's Chain,"Portion of a steel chain used to restrain Gundyr. Gain vigor, endurance, and vitality, but take extra damage.  A prisoner is one who has staked everything on a belief, a proclivity most apparent in the greatest of champions."
20560,Untrue Dark Ring,"One of the illusory rings worn by the Hollows of Londor.  Retain human appearance while Hollow.  The Hollows of Londor are wretchedly aged, fraught with deceit, and dubiously secretive. It is no wonder that they are deeply detested."
20570,Yorgh's Ring,"Ring of Sir Yorgh, who sought the blood of a dragon and invaded Shulva. Can deflect spells.  When Sir Yorgh faced Sinh, the slumbering dragon, he drew blood with a flash of his steel, but Sinh responded by spewing forth the poison that had long brewed within him, blanketing the city in a miasmic cloud."
20580,Obscuring Ring,"Ring bestowed upon the Fingers of Rosaria, invaders who seek tongues for their goddess.  Hides the presence of the wearer when far away.  It is said that Rosaria, the mother of rebirth, was robbed of her tongue by her firstborn, and has been waiting for their return ever since."
20590,Ring of the Evil Eye,"This ring captured the foul spirit of an evil eye, a creature that ravaged Astora.  Absorb HP from each defeated foe.  The horrid spirit nearly destroyed Astora, but was eventually defeated by ""the sword of one most noble."""
20600,Calamity Ring,"A ring made from the orange eye of a calamitous dragon. Receive double damage.  This ring has no useful powers, and is merely a symbol of dragon worship, a thing quietly passed down amongst its most fervent adherents, some of whom become convinced the task has been bestowed upon them as a sacred duty."
20610,Farron Ring,"A ring given to Undead Legion of Farron. Reduces Skill FP consumption.  The Abyss Watchers, for their hunting, required a sword technique that went beyond any existing art. Wolf's blood provided just that, and this ring further extends the effect."
20620,Aldrich's Ruby,"A malformed ring left by Aldrich, Saint of the Deep. Recovers HP from critical attacks.  Aldrich, infamous for his appetite for flesh, apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams."
20630,Aldrich's Sapphire,"A malformed ring left by Aldrich, Saint of the Deep. Recovers FP from critical attacks.  Aldrich, infamous for his appetite for flesh, apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams."
20660,Lloyd's Sword Ring,"Ring given to knights of the Way of White. Depicts Allfather Lloyd's Sword of Law.  Boosts attack power when HP is full.  Much time has passed since the worship of Lloyd was common in the Way of White. The clerics of Carim had always strongly asserted that Lloyd was a derivative fraud, and that the Allfather title was self-proclaimed."
20670,Lloyd's Shield Ring,"Ring given to knights of the Way of White. Depicts Allfather Lloyd's Shield of Caste.  Boosts damage absorption when HP is full.  Much time has passed since the worship of Lloyd was common in the Way of White. The clerics of Carim had always strongly asserted that Lloyd was a derivative fraud, and that the Allfather title was self-proclaimed."
20690,Ring of Hiding,"Masks one's presence from adversaries. Hides the wearer from Dark Spirits at a distance.  The wearer's presence is obscured, concealing their very existence from invaders of that world. However, if permitted to get close, the effect will fade."
20700,Estus Ring,"A green ring crafted from shards. Increases HP restored by Estus Flask.  This ring was entrusted to a certain Fire Keeper, but in the end she never met her champion, and the ensuing tragic farce became a favorite tale of the masses."
20710,Ashen Estus Ring,"Gray crystalline ring crafted from shards. Increases FP restored by Ashen Estus Flask.  Once a treasure brought before Lothric's Queen, she had it enshrined in the Cemetery of Untended Graves, so that one day an Unkindled might profit from its use."
20720,Horsehoof Ring,"An old ring with a seal depicting a horse's hoof. Boosts kick effect.  Unbreakable Patches adored this ring and the feeling that it gave it him when he kicked his marks into the depths of treacherous traps, but suffered no shortage of ridicule from his associates for relying so heavily on the tired old trick.  But who is the sorrier? The horse who knows only to kick, or the fool who approaches the old beast without thought?"
20730,Carthus Bloodring,"Ring worn by warriors of the sand kingdom, Carthus. Boosts rolling invincibility, at the cost of defense.  The sword technique of Carthus allows for fluid movement with a curved sword. Masters of the technique are said to dazzle their opponents by moving as weightlessly as a grain of sand. They live for their High Lord Wolnir, conqueror of most kingdoms known to their people."
20740,Reversal Ring,"A divine ring granted to the Darkmoon Gwyndolin in his youth.  Causes males to perform female actions, and vice-versa.  Gwyndolin was raised like a daughter through the aura of the moon, and was said to behave like a sullen brooding goddess."
20750,Pontiff's Right Eye,"Bewitched ring that Pontiff Sulyvahn bestowed upon his knights.  Boosts attacks, as long as attacking persists.  Knights who peer into the black orb are lured into battles of death, transformed into frenzied beasts. No wonder the Pontiff only provides these rings to those dispatched to foreign lands."
20760,Ring of Sustained Toughness,"Wearer's will to fight is converted into strength. Boosts defense, as long as attacking persists.  The unnatural ability of a late hero dwells within this ring, the use of which was permitted to only a select and valiant few."
20770,Ring of Sustained Energy,"Wearer's will to fight is converted into strength. Boosts stamina recovery speed, as long as attacking persists.  The unnatural ability of a late hero dwells within this ring, the use of which was permitted to only a select and valiant few."
20780,Ring of Sustained Magic,"Wearer's will to fight is converted into strength. Boosts spells, as long as attacking persists.  The unnatural ability of a late hero dwells within this ring, the use of which was permitted to only a select and valiant few."
20790,Pontiff's Left Eye,"Bewitched ring that Pontiff Sulyvahn bestowed upon his knights.  Recovers HP with successive attacks.  Knights who peer into the black orb are lured into battles of death, transformed into frenzied beasts. No wonder the Pontiff only provides these rings to those dispatched to foreign lands."
20800,Ring of Sustained Essence,"Wearer's will to fight is converted into strength. Recovers FP with successive attacks.  The unnatural ability of a late hero dwells within this ring, the use of which was permitted to only a select and valiant few."
20810,Ring of Sustained Might,"Wearer's will to fight is converted into strength. Adds extra damage with successive attacks.  The unnatural ability of a late hero dwells within this ring, the use of which was permitted to only a select and valiant few."
20820,Ring of Sustained Fortune,"Wearer's will to fight is converted into strength. Increases drop rate with successive attacks.  The unnatural ability of a late hero dwells within this ring, the use of which was permitted to only a select and valiant few."
20830,Dragonscale Ring,"Ring of Oceiros, former king of Lothric. Reduces damage from backstabs.  In his later years, Oceiros became fascinated with dragons. After going mad, he was more commonly known as the Consumed King. Many assassins were dispatched to his domain, but none returned.  The Consumed King ascribed his resilience to the divine protection of the dragon scale."
21000,Chillbite Ring,"One of the bite rings native to Carim. Increases frost resistance.  This ring would never grace Friede's hand, for the painting and its frost became her home."
